Amplicon,CpG_site,Month_Treatment,Reference.Frequency.P,FishNo,Treatment,Month
sox9_PE1,-27,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-27,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,-27,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,-27,Male.Wild,0.039,Unknown,Male,Wild
sox9_PE1,-27,Male.Wild,0.016,Unknown,Male,Wild
sox9_PE1,-3,Female.Captive,0.018,Unknown,Female,Captive
sox9_PE1,-3,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,-3,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,-3,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,-3,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,-3,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,-3,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,-3,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,-3,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,-3,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-3,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-3,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,-3,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-3,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.016,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.023,Unknown,Male,Wild
sox9_PE1,-3,Male.Wild,0.026,Unknown,Male,Wild
sox9_PE1,11,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,11,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,11,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,11,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,11,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,11,Female.Captive,0.021,Unknown,Female,Captive
sox9_PE1,11,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,11,Female.Wild,0.009,Unknown,Female,Wild
sox9_PE1,11,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,11,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,11,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,11,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,11,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,11,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.014,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,11,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,56,Female.Captive,0.026,Unknown,Female,Captive
sox9_PE1,56,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,56,Female.Captive,0.021,Unknown,Female,Captive
sox9_PE1,56,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,56,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,56,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,56,Female.Wild,0.014,Unknown,Female,Wild
sox9_PE1,56,Female.Wild,0.012,Unknown,Female,Wild
sox9_PE1,56,Female.Wild,0.012,Unknown,Female,Wild
sox9_PE1,56,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,56,Male.Captive,0.01,Unknown,Male,Captive
sox9_PE1,56,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,56,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,56,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,56,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,59,Female.Captive,0.02,Unknown,Female,Captive
sox9_PE1,59,Female.Captive,0.009,Unknown,Female,Captive
sox9_PE1,59,Female.Captive,0.01,Unknown,Female,Captive
sox9_PE1,59,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,59,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,59,Female.Captive,0.024,Unknown,Female,Captive
sox9_PE1,59,Female.Wild,0.009,Unknown,Female,Wild
sox9_PE1,59,Female.Wild,0.013,Unknown,Female,Wild
sox9_PE1,59,Female.Wild,0.012,Unknown,Female,Wild
sox9_PE1,59,Male.Captive,0.014,Unknown,Male,Captive
sox9_PE1,59,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,59,Male.Captive,0.012,Unknown,Male,Captive
sox9_PE1,59,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,59,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.02,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.014,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,59,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,89,Female.Captive,0.012,Unknown,Female,Captive
sox9_PE1,89,Female.Captive,0.016,Unknown,Female,Captive
sox9_PE1,89,Female.Captive,0.013,Unknown,Female,Captive
sox9_PE1,89,Female.Captive,0.03,Unknown,Female,Captive
sox9_PE1,89,Female.Captive,0.024,Unknown,Female,Captive
sox9_PE1,89,Female.Captive,0.004,Unknown,Female,Captive
sox9_PE1,89,Female.Wild,0.008,Unknown,Female,Wild
sox9_PE1,89,Female.Wild,0.011,Unknown,Female,Wild
sox9_PE1,89,Female.Wild,0.016,Unknown,Female,Wild
sox9_PE1,89,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,89,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,89,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,89,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,89,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.013,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.017,Unknown,Male,Wild
sox9_PE1,89,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,91,Female.Captive,0.024,Unknown,Female,Captive
sox9_PE1,91,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,91,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,91,Female.Captive,0.024,Unknown,Female,Captive
sox9_PE1,91,Female.Captive,0.023,Unknown,Female,Captive
sox9_PE1,91,Female.Captive,0.009,Unknown,Female,Captive
sox9_PE1,91,Female.Wild,0.018,Unknown,Female,Wild
sox9_PE1,91,Female.Wild,0.019,Unknown,Female,Wild
sox9_PE1,91,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,91,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,91,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,91,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,91,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,91,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.028,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.018,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,91,Male.Wild,0.015,Unknown,Male,Wild
sox9_PE1,97,Female.Captive,0.015,Unknown,Female,Captive
sox9_PE1,97,Female.Captive,0.013,Unknown,Female,Captive
sox9_PE1,97,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,97,Female.Captive,0.026,Unknown,Female,Captive
sox9_PE1,97,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,97,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,97,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,97,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,97,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,97,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,97,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,97,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,97,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,97,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.017,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,97,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,100,Female.Captive,0.039,Unknown,Female,Captive
sox9_PE1,100,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,100,Female.Captive,0.014,Unknown,Female,Captive
sox9_PE1,100,Female.Captive,0.012,Unknown,Female,Captive
sox9_PE1,100,Female.Captive,0.014,Unknown,Female,Captive
sox9_PE1,100,Female.Captive,0.038,Unknown,Female,Captive
sox9_PE1,100,Female.Wild,0.029,Unknown,Female,Wild
sox9_PE1,100,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,100,Female.Wild,0.02,Unknown,Female,Wild
sox9_PE1,100,Male.Captive,0.01,Unknown,Male,Captive
sox9_PE1,100,Male.Captive,0.015,Unknown,Male,Captive
sox9_PE1,100,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,100,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,100,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.033,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.018,Unknown,Male,Wild
sox9_PE1,100,Male.Wild,0.029,Unknown,Male,Wild
sox9_PE1,106,Female.Captive,0.021,Unknown,Female,Captive
sox9_PE1,106,Female.Captive,0.014,Unknown,Female,Captive
sox9_PE1,106,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,106,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,106,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,106,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,106,Female.Wild,0.008,Unknown,Female,Wild
sox9_PE1,106,Female.Wild,0.014,Unknown,Female,Wild
sox9_PE1,106,Female.Wild,0.019,Unknown,Female,Wild
sox9_PE1,106,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,106,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,106,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,106,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,106,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.025,Unknown,Male,Wild
sox9_PE1,106,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,110,Female.Captive,0.02,Unknown,Female,Captive
sox9_PE1,110,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,110,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,110,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,110,Female.Captive,0.009,Unknown,Female,Captive
sox9_PE1,110,Female.Captive,0.004,Unknown,Female,Captive
sox9_PE1,110,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,110,Female.Wild,0.012,Unknown,Female,Wild
sox9_PE1,110,Female.Wild,0.01,Unknown,Female,Wild
sox9_PE1,110,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,110,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,110,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,110,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,110,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.013,Unknown,Male,Wild
sox9_PE1,110,Male.Wild,0.021,Unknown,Male,Wild
sox9_PE1,116,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,116,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,116,Female.Captive,0.01,Unknown,Female,Captive
sox9_PE1,116,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,116,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,116,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,116,Female.Wild,0.03,Unknown,Female,Wild
sox9_PE1,116,Female.Wild,0.01,Unknown,Female,Wild
sox9_PE1,116,Female.Wild,0.019,Unknown,Female,Wild
sox9_PE1,116,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,116,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,116,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,116,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,116,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.016,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,116,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,121,Female.Captive,0.023,Unknown,Female,Captive
sox9_PE1,121,Female.Captive,0.015,Unknown,Female,Captive
sox9_PE1,121,Female.Captive,0.026,Unknown,Female,Captive
sox9_PE1,121,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,121,Female.Captive,0.02,Unknown,Female,Captive
sox9_PE1,121,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,121,Female.Wild,0.035,Unknown,Female,Wild
sox9_PE1,121,Female.Wild,0.013,Unknown,Female,Wild
sox9_PE1,121,Female.Wild,0.013,Unknown,Female,Wild
sox9_PE1,121,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,121,Male.Captive,0.01,Unknown,Male,Captive
sox9_PE1,121,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,121,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,121,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.017,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,121,Male.Wild,0.015,Unknown,Male,Wild
sox9_PE1,128,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,128,Female.Captive,0.013,Unknown,Female,Captive
sox9_PE1,128,Female.Captive,0.016,Unknown,Female,Captive
sox9_PE1,128,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,128,Female.Captive,0.009,Unknown,Female,Captive
sox9_PE1,128,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,128,Female.Wild,0.041,Unknown,Female,Wild
sox9_PE1,128,Female.Wild,0.011,Unknown,Female,Wild
sox9_PE1,128,Female.Wild,0.011,Unknown,Female,Wild
sox9_PE1,128,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,128,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,128,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,128,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,128,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.012,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.042,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,128,Male.Wild,0.015,Unknown,Male,Wild
sox9_PE1,138,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,138,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,138,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,138,Female.Captive,0.022,Unknown,Female,Captive
sox9_PE1,138,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,138,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,138,Female.Wild,0.009,Unknown,Female,Wild
sox9_PE1,138,Female.Wild,0.014,Unknown,Female,Wild
sox9_PE1,138,Female.Wild,0.011,Unknown,Female,Wild
sox9_PE1,138,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,138,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,138,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,138,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,138,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.023,Unknown,Male,Wild
sox9_PE1,138,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,142,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,142,Female.Captive,0.004,Unknown,Female,Captive
sox9_PE1,142,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,142,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,142,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,142,Female.Captive,0.004,Unknown,Female,Captive
sox9_PE1,142,Female.Wild,0.014,Unknown,Female,Wild
sox9_PE1,142,Female.Wild,0.015,Unknown,Female,Wild
sox9_PE1,142,Female.Wild,0.011,Unknown,Female,Wild
sox9_PE1,142,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,142,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,142,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,142,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,142,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.015,Unknown,Male,Wild
sox9_PE1,142,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,146,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,146,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,146,Female.Captive,0.006,Unknown,Female,Captive
sox9_PE1,146,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,146,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,146,Female.Captive,0.011,Unknown,Female,Captive
sox9_PE1,146,Female.Wild,0.017,Unknown,Female,Wild
sox9_PE1,146,Female.Wild,0.012,Unknown,Female,Wild
sox9_PE1,146,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,146,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,146,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,146,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,146,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,146,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.024,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.024,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.024,Unknown,Male,Wild
sox9_PE1,146,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,188,Female.Captive,0.016,Unknown,Female,Captive
sox9_PE1,188,Female.Captive,0.01,Unknown,Female,Captive
sox9_PE1,188,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,188,Female.Captive,0.003,Unknown,Female,Captive
sox9_PE1,188,Female.Captive,0.013,Unknown,Female,Captive
sox9_PE1,188,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,188,Female.Wild,0.018,Unknown,Female,Wild
sox9_PE1,188,Female.Wild,0.01,Unknown,Female,Wild
sox9_PE1,188,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,188,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,188,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,188,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,188,Male.Captive,0.007,Unknown,Male,Captive
sox9_PE1,188,Male.Wild,0.013,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.01,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.018,Unknown,Male,Wild
sox9_PE1,188,Male.Wild,0.006,Unknown,Male,Wild
dmrt1_Ppt1,-550,Female.Captive,0.331,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.5,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.613,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.62,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.676,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.693,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.729,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.774,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.8,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.833,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.864,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Captive,0.886,Unknown,Female,Captive
dmrt1_Ppt1,-550,Female.Wild,0.672,Unknown,Female,Wild
dmrt1_Ppt1,-550,Female.Wild,0.95,Unknown,Female,Wild
dmrt1_Ppt1,-550,Female.Wild,0.937,Unknown,Female,Wild
dmrt1_Ppt1,-550,Female.Wild,0.92,Unknown,Female,Wild
dmrt1_Ppt1,-550,Female.Wild,0.722,Unknown,Female,Wild
dmrt1_Ppt1,-550,Female.Wild,0.73,Unknown,Female,Wild
dmrt1_Ppt1,-550,Male.Wild,0.459,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.621,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.626,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.644,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.776,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.832,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.907,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.924,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.935,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Wild,0.95,Unknown,Male,Wild
dmrt1_Ppt1,-550,Male.Captive,0.427,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.438,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.44,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.441,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.447,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.454,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.458,Unknown,Male,Captive
dmrt1_Ppt1,-550,Male.Captive,0.62,Unknown,Male,Captive
dmrt1_Ppt1,-534,Female.Captive,0.234,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.339,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.353,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.521,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.556,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.567,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.583,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.6,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.612,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.686,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.692,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Captive,0.769,Unknown,Female,Captive
dmrt1_Ppt1,-534,Female.Wild,0.581,Unknown,Female,Wild
dmrt1_Ppt1,-534,Female.Wild,0.582,Unknown,Female,Wild
dmrt1_Ppt1,-534,Female.Wild,0.688,Unknown,Female,Wild
dmrt1_Ppt1,-534,Female.Wild,0.81,Unknown,Female,Wild
